TotalCount,DateStart
1,8/24/2017
1,8/26/2017
13,8/27/2017
19,8/28/2017
13,8/29/2017
14,8/30/2017
22,8/31/2017
10,9/1/2017
6,9/2/2017
10,9/3/2017
36,9/4/2017
32,9/5/2017
11,9/6/2017
30,9/7/2017
13,9/8/2017
9,9/9/2017
31,9/10/2017
19,9/11/2017
17,9/12/2017
7,9/13/2017
22,9/14/2017
4,9/15/2017
18,9/16/2017
26,9/17/2017
13,9/18/2017
17,9/19/2017
7,9/20/2017
17,9/21/2017
10,9/22/2017
10,9/23/2017
8,9/24/2017
