Cnt	emplID	CUM_GPA
-22171	12275685	3.5
-102024	12083465	3.18
-198783	11372229	3.42
-153000	12484658	3.78
-30177	12899808	3.71
-20780	12772004	3.41
-247868	11520250	2.75
-5864	12424903	3.83
-44796	11458679	0
-182508	11566214	4
-99926	12248594	3.47
-26356	12797808	2.82
-93735	11251701	3.72
-68391	12839682	3.68
-178587	11446964	3.67
-55183	11602813	2.67
-20138	12594596	3.74
-25730	12852340	3.44
-36305	12687436	3.34
-35882	11447992	3.69
-58345	12815777	2.86
-62319	12835279	2.21
-52052	12422723	3.78
-23676	13459107	2.93
-141119	11456100	2.82
-14688	11619698	0
-75033	12467005	3.48
-10141	12308966	0
-23528	12287895	2.61
-13850	11601763	3.71
-56389	11580740	3.46
-17516	12750152	3.56
-28400	12265181	3.38
-11348	12834187	3.58
-156156	12390176	3.7
-36225	12150735	0
-141844	11625838	2.77
-123377	12311200	3.79
-49582	11630676	0
-28979	12750442	2.91
-34870	11623018	3.23
-38340	13163606	2.93
-34342	12328428	3.52
-16637	11531434	3.58
-24024	12529572	3.02
-54938	12675403	3.52
-15336	11605487	0
-7422	11550225	3.79
-30906	12136942	0
-192173	12211187	0
-53705	12659758	3.65
-38927	12476940	0
-13542	12494059	0
-61770	11519809	3.49
-25000	12742482	3.79
-14598	12533145	2.79
-36320	11356220	3.25
-172774	11536764	0
-62406	12167409	3.44
-29494	11521249	0
-31442	12481998	3.04
-180044	11575910	3.54
-29540	11619553	3.21
-208328	12761370	2.39
-35736	12566734	3.65
-63067	12812950	0
-19296	12378163	2.42
-103984	12342042	3.32
-76695	12820729	2.95
-10884	11392947	3.57
-110268	11565941	0
-8264	11575586	3.41
-48687	12786992	0
-33545	12669032	3.5
-26000	12381562	3.67
-28400	12530193	3
-122226	11550615	2.93
-7420	11391231	3.5
-38546	12832399	2.87
-31518	12596152	3.56
-24316	11586149	0
-38546	12183688	3.22
-51083	12415911	3.1
-193754	12608310	3.61
-19388	12628014	3.73
-21794	12648678	3.21
-129674	11541699	2.85
-2400	12609892	2.57
-8167	12412185	3.86
-16748	12828263	3.8
-29120	12839234	3.78
-109943	12380092	3.63
-4947	11442968	0
-49362	12560034	3.42
