TotalCount,DateStart
7,8/24/2017
1,8/26/2017
84,8/27/2017
194,8/28/2017
66,8/29/2017
96,8/30/2017
156,8/31/2017
46,9/1/2017
23,9/2/2017
140,9/3/2017
555,9/4/2017
546,9/5/2017
85,9/6/2017
381,9/7/2017
131,9/8/2017
159,9/9/2017
244,9/10/2017
206,9/11/2017
272,9/12/2017
72,9/13/2017
137,9/14/2017
24,9/15/2017
105,9/16/2017
173,9/17/2017
78,9/18/2017
115,9/19/2017
37,9/20/2017
93,9/21/2017
81,9/22/2017
52,9/23/2017
30,9/24/2017
4389,
