Season,Playoffs,Rk,G,Date,Days Off,Age,Age-Decimal,Tm,Home,Opp,Result,WinLoss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2009-2010,0,31,31,12/25/2009,2.00,24-360,24.98630137,CLE,0,LAL,15,W,1,40:44:00,9,19,0.474,2,7,0.286,6,11,0.545,0,4,4,9,2,1,7,3,26,16.3,8
2009-2010,0,32,32,12/27/2009,2.00,24-362,24.99178082,CLE,1,HOU,25,W,1,29:26:00,12,20,0.6,2,5,0.4,3,4,0.75,2,3,5,6,3,1,1,0,29,28.6,16
2009-2010,0,33,33,12/29/2009,1.00,24-364,24.99726027,CLE,0,ATL,11,W,1,39:36:00,6,20,0.3,0,5,0,2,3,0.667,1,7,8,10,5,1,4,2,14,12.7,6
2009-2010,0,34,34,12/30/2009,3.00,25-000,25,CLE,1,ATL,5,W,1,43:12:00,15,23,0.652,4,6,0.667,14,16,0.875,3,7,10,6,2,2,3,3,48,44.7,7
2009-2010,0,35,35,1/2/2010,1.00,25-003,25.00821918,CLE,0,NJN,8,W,1,36:27:00,7,16,0.438,1,4,0.25,13,15,0.867,1,8,9,7,1,2,1,0,28,28.2,10
2009-2010,0,36,36,1/3/2010,3.00,25-004,25.0109589,CLE,1,CHA,-3,L,1,42:51:00,13,21,0.619,2,6,0.333,1,2,0.5,0,7,7,6,1,1,1,3,29,24.9,-2
2009-2010,0,37,37,1/6/2010,2.00,25-007,25.01917808,CLE,1,WAS,23,W,1,30:50:00,7,12,0.583,1,4,0.25,8,11,0.727,2,5,7,8,1,2,1,0,23,26.1,16
2009-2010,0,38,38,1/8/2010,2.00,25-009,25.02465753,CLE,0,DEN,-2,L,1,41:18:00,12,28,0.429,2,8,0.25,9,13,0.692,2,4,6,7,1,0,8,1,35,18.7,6
2009-2010,0,39,39,1/10/2010,1.00,25-011,25.03013699,CLE,0,POR,12,W,1,45:16:00,13,19,0.684,3,4,0.75,12,14,0.857,0,10,10,8,0,1,3,1,41,38,16
2009-2010,0,40,40,1/11/2010,3.00,25-012,25.03287671,CLE,0,GSW,3,W,1,41:37:00,12,23,0.522,1,4,0.25,12,14,0.857,1,7,8,11,2,4,2,1,37,37.8,12
2009-2010,0,41,41,1/14/2010,2.00,25-015,25.04109589,CLE,0,UTA,-1,L,1,40:25:00,12,20,0.6,4,6,0.667,8,12,0.667,1,8,9,6,5,1,5,1,36,32.8,7
2009-2010,0,42,42,1/16/2010,3.00,25-017,25.04657534,CLE,0,LAC,1,W,1,38:54:00,12,20,0.6,3,6,0.5,5,7,0.714,2,2,4,4,2,1,5,3,32,23.3,-1
2009-2010,0,43,43,1/19/2010,2.00,25-020,25.05479452,CLE,1,TOR,8,W,1,41:01:00,8,18,0.444,0,7,0,12,14,0.857,0,9,9,11,3,3,3,1,28,29.9,12
2009-2010,0,44,44,1/21/2010,2.00,25-022,25.06027397,CLE,1,LAL,6,W,1,40:24:00,13,25,0.52,1,9,0.111,10,13,0.769,0,5,5,9,2,1,4,3,37,28.8,5
2009-2010,0,45,45,1/23/2010,2.00,25-024,25.06575342,CLE,1,OKC,1,W,1,42:38:00,9,19,0.474,6,10,0.6,13,19,0.684,0,9,9,12,1,1,6,2,37,30.9,-1
2009-2010,0,46,46,1/25/2010,2.00,25-026,25.07123288,CLE,0,MIA,1,W,1,38:31:00,9,23,0.391,2,9,0.222,12,17,0.706,0,9,9,4,1,0,4,3,32,18.8,1
2009-2010,0,47,47,1/27/2010,2.00,25-028,25.07671233,CLE,1,MIN,14,W,1,30:33:00,3,8,0.375,1,3,0.333,5,6,0.833,0,6,6,11,1,1,3,1,12,15,16
2009-2010,0,48,48,1/29/2010,2.00,25-030,25.08219178,CLE,0,IND,21,W,1,35:39:00,6,18,0.333,0,4,0,10,17,0.588,0,9,9,13,2,4,5,2,22,19.8,22
2009-2010,0,49,49,1/31/2010,2.00,25-032,25.08767123,CLE,1,LAC,25,W,1,39:55:00,10,20,0.5,5,6,0.833,7,8,0.875,1,2,3,11,1,0,1,1,32,30.2,15
2009-2010,0,50,50,2/2/2010,2.00,25-034,25.09315068,CLE,1,MEM,16,W,1,37:07:00,7,14,0.5,1,4,0.25,7,7,1,1,5,6,15,1,1,4,2,22,24.6,19
2009-2010,0,51,51,2/4/2010,2.00,25-036,25.09863014,CLE,1,MIA,16,W,1,40:06:00,9,16,0.563,1,4,0.25,17,21,0.81,2,5,7,8,2,0,4,1,36,32.9,20
2009-2010,0,52,52,2/6/2010,3.00,25-038,25.10410959,CLE,1,NYK,7,W,1,43:51:00,17,31,0.548,6,12,0.5,7,7,1,1,7,8,8,5,0,5,2,47,39.7,4
2009-2010,0,53,53,2/9/2010,2.00,25-041,25.11232877,CLE,1,NJN,7,W,1,42:21:00,13,21,0.619,1,4,0.25,5,9,0.556,0,3,3,11,1,0,3,0,32,27.5,-2
2009-2010,0,54,54,2/11/2010,7.00,25-043,25.11780822,CLE,1,ORL,9,W,1,45:05:00,10,21,0.476,2,6,0.333,10,12,0.833,1,7,8,13,2,0,3,2,32,30.6,16
2009-2010,0,55,55,2/18/2010,1.00,25-050,25.1369863,CLE,1,DEN,-2,L,1,47:00:00,15,33,0.455,1,9,0.111,12,17,0.706,1,12,13,15,2,4,3,1,43,40.1,-5
2009-2010,0,56,56,2/19/2010,2.00,25-051,25.13972603,CLE,0,CHA,-17,L,1,35:30:00,6,14,0.429,2,6,0.333,8,10,0.8,1,2,3,9,4,0,2,2,22,22.6,-2
2009-2010,0,57,57,2/21/2010,2.00,25-053,25.14520548,CLE,0,ORL,-6,L,1,39:23:00,12,25,0.48,1,6,0.167,8,12,0.667,0,9,9,6,2,1,5,0,33,23.3,-9
2009-2010,0,58,58,2/23/2010,2.00,25-055,25.15068493,CLE,1,NOH,10,W,1,44:07:00,7,16,0.438,2,6,0.333,4,4,1,1,4,5,13,2,0,0,0,20,24.6,17
2009-2010,0,59,59,2/25/2010,1.00,25-057,25.15616438,CLE,0,BOS,20,W,1,35:57:00,11,23,0.478,3,6,0.5,11,15,0.733,1,6,7,9,0,0,2,2,36,28.7,9
2009-2010,0,60,60,2/26/2010,3.00,25-058,25.15890411,CLE,0,TOR,8,W,1,44:24:00,10,17,0.588,1,4,0.25,15,16,0.938,0,6,6,9,2,0,1,2,36,36,8
2009-2010,0,61,61,3/1/2010,2.00,25-061,25.16712329,CLE,1,NYK,31,W,1,31:14:00,9,17,0.529,1,4,0.25,3,5,0.6,0,7,7,7,2,2,3,0,22,20.3,39
2009-2010,0,62,62,3/3/2010,2.00,25-063,25.17260274,CLE,0,NJN,19,W,1,40:41:00,10,18,0.556,0,4,0,6,7,0.857,2,5,7,14,3,1,3,1,26,30,18
2009-2010,0,63,63,3/5/2010,7.00,25-065,25.17808219,CLE,1,DET,7,W,1,41:52:00,16,27,0.593,3,7,0.429,5,6,0.833,2,11,13,6,3,2,4,1,40,36,12
2009-2010,0,64,64,3/12/2010,2.00,25-072,25.19726027,CLE,0,PHI,5,W,1,42:06:00,7,18,0.389,3,10,0.3,6,12,0.5,0,6,6,10,1,3,1,2,23,20.9,2
2009-2010,0,65,65,3/14/2010,2.00,25-074,25.20273973,CLE,1,BOS,11,W,1,38:52:00,9,21,0.429,1,3,0.333,11,16,0.688,3,5,8,7,2,3,2,2,30,26.7,3
2009-2010,0,66,66,3/16/2010,1.00,25-076,25.20821918,CLE,0,DET,12,W,1,43:07:00,10,22,0.455,1,3,0.333,8,11,0.727,2,10,12,12,1,1,4,0,29,26.9,13
2009-2010,0,67,67,3/17/2010,2.00,25-077,25.2109589,CLE,1,IND,5,W,1,38:43:00,11,24,0.458,2,4,0.5,8,10,0.8,1,8,9,9,3,2,6,2,32,25.8,14
2009-2010,0,68,68,3/19/2010,2.00,25-079,25.21643836,CLE,0,CHI,7,W,1,37:31:00,9,21,0.429,0,3,0,11,12,0.917,1,10,11,7,2,2,5,1,29,24.1,5
2009-2010,0,69,69,3/21/2010,3.00,25-081,25.22191781,CLE,1,DET,25,W,1,30:48:00,5,9,0.556,2,3,0.667,3,3,1,0,3,3,7,0,1,0,0,15,17.2,17
2009-2010,0,70,70,3/24/2010,2.00,25-084,25.23013699,CLE,0,NOH,13,W,1,40:45:00,15,22,0.682,1,5,0.2,7,8,0.875,2,4,6,9,1,0,3,2,38,34.3,9
2009-2010,0,71,71,3/26/2010,2.00,25-086,25.23561644,CLE,0,SAS,-5,L,1,39:18:00,11,21,0.524,1,6,0.167,4,7,0.571,0,5,5,10,2,0,5,2,27,20.2,-5
2009-2010,0,72,72,3/28/2010,3.00,25-088,25.24109589,CLE,1,SAC,7,W,1,39:05:00,13,22,0.591,3,6,0.5,5,6,0.833,1,6,7,8,3,0,3,2,34,30.7,8
2009-2010,0,73,73,3/31/2010,2.00,25-091,25.24931507,CLE,1,MIL,3,W,1,39:05:00,7,17,0.412,0,1,0,9,13,0.692,1,8,9,7,1,1,4,2,23,17.2,10
2009-2010,0,74,74,4/2/2010,2.00,25-093,25.25479452,CLE,1,ATL,5,W,1,38:22:00,11,20,0.55,1,3,0.333,4,7,0.571,0,13,13,6,2,0,2,1,27,23.9,11
2009-2010,0,75,75,4/4/2010,2.00,25-095,25.26027397,CLE,0,BOS,-4,L,1,44:32:00,14,31,0.452,0,9,0,14,22,0.636,1,6,7,9,1,1,3,0,42,30.2,-1
2009-2010,0,76,76,4/6/2010,11.00,25-097,25.26575342,CLE,1,TOR,12,W,1,35:34:00,5,13,0.385,0,2,0,9,10,0.9,0,6,6,13,0,1,4,1,19,18.7,19
2009-2010,1,1,1,4/17/2010,2.00,25-108,25.29589041,CLE,1,CHI,13,W,1,40:14:00,9,19,0.474,0,1,0,6,7,0.857,0,6,6,5,1,4,3,2,24,19.2,19
2009-2010,1,2,2,4/19/2010,3.00,25-110,25.30136986,CLE,1,CHI,10,W,1,41:05:00,16,23,0.696,2,4,0.5,6,6,1,1,7,8,8,1,2,2,2,40,38.3,6
2009-2010,1,3,3,4/22/2010,3.00,25-113,25.30958904,CLE,0,CHI,-2,L,1,44:16:00,14,26,0.538,4,8,0.5,7,13,0.538,2,8,10,8,2,3,5,3,39,31.3,5
2009-2010,1,4,4,4/25/2010,2.00,25-116,25.31780822,CLE,0,CHI,23,W,1,36:24:00,11,17,0.647,6,9,0.667,9,10,0.9,0,12,12,11,2,1,2,3,37,39.9,29
2009-2010,1,5,5,4/27/2010,4.00,25-118,25.32328767,CLE,1,CHI,2,W,1,43:13:00,5,12,0.417,1,2,0.5,8,14,0.571,3,7,10,9,0,2,3,1,19,18.7,1
2009-2010,1,6,6,5/1/2010,2.00,25-122,25.33424658,CLE,1,BOS,8,W,1,43:12:00,12,24,0.5,3,6,0.5,8,11,0.727,2,5,7,7,3,2,2,1,35,31.6,7
2009-2010,1,7,7,5/3/2010,4.00,25-124,25.33972603,CLE,1,BOS,-18,L,1,41:09:00,7,15,0.467,0,4,0,10,15,0.667,0,7,7,4,3,2,5,1,24,18.2,-16
2009-2010,1,8,8,5/7/2010,2.00,25-128,25.35068493,CLE,0,BOS,29,W,1,39:16:00,14,22,0.636,2,3,0.667,8,9,0.889,2,6,8,7,1,2,1,1,38,36.9,30
2009-2010,1,9,9,5/9/2010,2.00,25-130,25.35616438,CLE,0,BOS,-10,L,1,43:14:00,7,18,0.389,0,5,0,8,11,0.727,1,8,9,8,2,1,7,4,22,13.8,-10
2009-2010,1,10,10,5/11/2010,2.00,25-132,25.36164384,CLE,1,BOS,-32,L,1,41:40:00,3,14,0.214,0,4,0,9,12,0.75,1,5,6,7,1,0,3,3,15,9.1,-22
2009-2010,1,11,11,5/13/2010,166.00,25-134,25.36712329,CLE,0,BOS,-9,L,1,46:12:00,8,21,0.381,2,4,0.5,9,12,0.75,3,16,19,10,3,1,9,2,27,22.1,-5
2010-2011,0,1,1,10/26/2010,1.00,25-300,25.82191781,MIA,0,BOS,-8,L,1,42:39:00,10,21,0.476,3,6,0.5,8,12,0.667,0,4,4,3,1,2,8,1,31,16,1
2010-2011,0,2,2,10/27/2010,2.00,25-301,25.82465753,MIA,0,PHI,10,W,1,37:33:00,5,12,0.417,0,2,0,6,6,1,0,6,6,7,2,1,9,1,16,9.6,6
2010-2011,0,3,3,10/29/2010,2.00,25-303,25.83013699,MIA,1,ORL,26,W,1,30:02:00,6,13,0.462,2,3,0.667,1,2,0.5,0,6,6,7,0,0,3,4,15,10,13
2010-2011,0,4,4,10/31/2010,2.00,25-305,25.83561644,MIA,0,NJN,23,W,1,28:57:00,5,12,0.417,0,4,0,10,12,0.833,0,7,7,7,2,0,5,3,20,15.6,18
2010-2011,0,5,5,11/2/2010,3.00,25-307,25.84109589,MIA,1,MIN,32,W,1,32:26:00,7,12,0.583,0,2,0,6,8,0.75,0,0,0,12,2,1,1,0,20,23.7,32
2010-2011,0,6,6,11/5/2010,1.00,25-310,25.84931507,MIA,0,NOH,-3,L,1,41:12:00,6,16,0.375,1,2,0.5,7,8,0.875,0,7,7,10,3,1,3,0,20,20.6,-6
2010-2011,0,7,7,11/6/2010,3.00,25-311,25.85205479,MIA,1,NJN,12,W,1,33:35:00,9,16,0.563,2,4,0.5,3,5,0.6,0,3,3,9,2,0,4,1,23,19.4,11
2010-2011,0,8,8,11/9/2010,2.00,25-314,25.86027397,MIA,1,UTA,-2,L,1,46:44:00,5,18,0.278,0,1,0,10,11,0.909,2,9,11,14,1,3,2,3,20,22.8,4
2010-2011,0,9,9,11/11/2010,2.00,25-316,25.86575342,MIA,1,BOS,-5,L,1,44:28:00,9,21,0.429,0,5,0,17,22,0.773,0,10,10,9,3,0,4,3,35,29,0
2010-2011,0,10,10,11/13/2010,4.00,25-318,25.87123288,MIA,1,TOR,9,W,1,39:20:00,8,21,0.381,0,1,0,7,11,0.636,1,1,2,11,2,0,3,0,23,17.6,11
2010-2011,0,11,11,11/17/2010,2.00,25-322,25.88219178,MIA,1,PHO,27,W,1,23:03,9,15,0.6,0,2,0,2,3,0.667,3,5,8,9,3,0,3,5,20,20.6,24
2010-2011,0,12,12,11/19/2010,1.00,25-324,25.88767123,MIA,1,CHA,8,W,1,39:29:00,12,25,0.48,2,5,0.4,6,7,0.857,0,2,2,5,2,0,4,1,32,20.6,4
2010-2011,0,13,13,11/20/2010,2.00,25-325,25.89041096,MIA,0,MEM,-2,L,1,42:06:00,11,23,0.478,2,4,0.5,5,6,0.833,0,3,3,11,1,0,4,2,29,21.7,-1
2010-2011,0,14,14,11/22/2010,2.00,25-327,25.89589041,MIA,1,IND,-16,L,1,41:34:00,6,14,0.429,2,8,0.25,11,15,0.733,0,5,5,6,1,0,6,3,25,15.5,-1
2010-2011,0,15,15,11/24/2010,2.00,25-329,25.90136986,MIA,0,ORL,-9,L,1,40:44:00,9,18,0.5,1,3,0.333,6,8,0.75,1,5,6,4,1,0,3,3,25,17,-15
2010-2011,0,16,16,11/26/2010,1.00,25-331,25.90684932,MIA,1,PHI,9,W,1,40:34:00,5,15,0.333,1,5,0.2,9,11,0.818,1,7,8,6,2,1,2,1,20,18,11
2010-2011,0,17,17,11/27/2010,2.00,25-332,25.90958904,MIA,0,DAL,-11,L,1,36:04:00,5,19,0.263,0,4,0,13,15,0.867,2,6,8,4,1,0,5,3,23,11.7,-14
2010-2011,0,18,18,11/29/2010,2.00,25-334,25.91506849,MIA,1,WAS,11,W,1,38:11:00,10,18,0.556,1,1,1,9,11,0.818,1,5,6,5,1,1,7,3,30,19.8,3
2010-2011,0,19,19,12/1/2010,1.00,25-336,25.92054795,MIA,1,DET,25,W,1,31:14:00,8,15,0.533,1,1,1,1,2,0.5,2,4,6,3,1,0,4,0,18,12,17
2010-2011,0,20,20,12/2/2010,2.00,25-337,25.92328767,MIA,0,CLE,28,W,1,30:02:00,15,25,0.6,2,7,0.286,6,9,0.667,0,5,5,8,1,1,0,1,38,33.7,26
2010-2011,0,21,21,12/4/2010,2.00,25-339,25.92876712,MIA,1,ATL,12,W,1,37:19:00,5,11,0.455,1,1,1,11,13,0.846,0,7,7,4,1,1,2,1,22,19.7,7
2010-2011,0,22,22,12/6/2010,2.00,25-341,25.93424658,MIA,0,MIL,10,W,1,38:41:00,7,16,0.438,1,3,0.333,2,4,0.5,0,6,6,6,1,1,1,5,17,12.5,17
2010-2011,0,23,23,12/8/2010,2.00,25-343,25.93972603,MIA,0,UTA,13,W,1,39:26:00,12,20,0.6,3,5,0.6,6,7,0.857,1,6,7,9,0,0,2,4,33,28.6,0
2010-2011,0,24,24,12/10/2010,1.00,25-345,25.94520548,MIA,0,GSW,22,W,1,30:43:00,10,18,0.556,3,4,0.75,2,3,0.667,0,7,7,9,1,1,4,1,25,21.7,22
2010-2011,0,25,25,12/11/2010,2.00,25-346,25.94794521,MIA,0,SAC,21,W,1,35:11:00,10,19,0.526,2,3,0.667,3,5,0.6,1,9,10,3,2,0,3,1,25,19,15
2010-2011,0,26,26,12/13/2010,2.00,25-348,25.95342466,MIA,1,NOH,12,W,1,40:18:00,6,16,0.375,0,3,0,8,10,0.8,1,3,4,7,0,0,5,2,20,11.1,11
2010-2011,0,27,27,12/15/2010,2.00,25-350,25.95890411,MIA,1,CLE,6,W,1,38:31:00,5,15,0.333,0,4,0,11,18,0.611,2,11,13,5,1,0,4,1,21,14.5,0
2010-2011,0,28,28,12/17/2010,1.00,25-352,25.96438356,MIA,0,NYK,22,W,1,38:13:00,14,23,0.609,3,6,0.5,1,3,0.333,1,10,11,10,1,0,5,1,32,27,31
2010-2011,0,29,29,12/18/2010,2.00,25-353,25.96712329,MIA,0,WAS,1,W,1,40:31:00,9,19,0.474,3,7,0.429,11,12,0.917,1,6,7,6,1,0,4,3,32,24.4,6
2010-2011,0,30,30,12/20/2010,3.00,25-355,25.97260274,MIA,1,DAL,-2,L,1,36:05:00,6,17,0.353,2,4,0.5,5,7,0.714,3,7,10,7,0,0,5,4,19,11.2,-20
2010-2011,0,31,31,12/23/2010,2.00,25-358,25.98082192,MIA,0,PHO,12,W,1,37:23:00,13,22,0.591,2,5,0.4,8,8,1,1,5,6,4,3,0,5,5,36,26.8,4
2010-2011,0,32,32,12/25/2010,3.00,25-360,25.98630137,MIA,0,LAL,16,W,1,38:11:00,8,14,0.571,5,6,0.833,6,6,1,1,10,11,10,4,0,1,2,27,33.3,15
2010-2011,0,33,33,12/28/2010,1.00,25-363,25.99452055,MIA,1,NYK,8,W,1,40:25:00,8,17,0.471,1,2,0.5,1,3,0.333,0,10,10,8,0,0,3,3,18,12.9,17
2010-2011,0,34,34,12/29/2010,3.00,25-364,25.99726027,MIA,0,HOU,6,W,1,39:09:00,8,15,0.533,0,4,0,4,4,1,0,6,6,9,1,0,3,3,20,17.6,16
2010-2011,0,35,35,1/1/2011,2.00,26-002,26.00547945,MIA,1,GSW,7,W,1,41:31:00,7,15,0.467,0,3,0,11,17,0.647,2,5,7,10,1,1,3,1,25,23.1,6
2010-2011,0,36,36,1/3/2011,1.00,26-004,26.0109589,MIA,0,CHA,14,W,1,36:34:00,15,26,0.577,2,4,0.5,6,6,1,0,9,9,5,1,0,3,3,38,28.8,20
2010-2011,0,37,37,1/4/2011,3.00,26-005,26.01369863,MIA,1,MIL,12,W,1,36:35:00,8,15,0.533,0,0,,9,11,0.818,1,5,6,9,0,2,2,2,25,24,10
2010-2011,0,38,38,1/7/2011,2.00,26-008,26.02191781,MIA,0,MIL,6,W,1,45:16:00,8,23,0.348,1,4,0.25,9,11,0.818,1,9,10,5,6,1,5,2,26,20.1,7
2010-2011,0,39,39,1/9/2011,3.00,26-010,26.02739726,MIA,0,POR,7,W,1,46:11:00,17,26,0.654,3,5,0.6,7,10,0.7,3,10,13,6,2,0,6,4,44,35.1,5
2010-2011,0,40,40,1/12/2011,6.00,26-013,26.03561644,MIA,0,LAC,-6,L,1,39:44:00,11,24,0.458,3,6,0.5,2,5,0.4,2,6,8,6,0,0,3,1,27,17.4,-3
2010-2011,0,41,41,1/18/2011,4.00,26-019,26.05205479,MIA,1,ATL,-4,L,1,44:17:00,11,30,0.367,2,10,0.2,10,11,0.909,2,8,10,7,2,0,6,3,34,20.5,-5
2010-2011,0,42,42,1/22/2011,5.00,26-023,26.0630137,MIA,1,TOR,17,W,1,38:00:00,14,29,0.483,1,3,0.333,9,14,0.643,1,10,11,6,2,1,1,2,38,30.1,13
2010-2011,0,43,43,1/27/2011,1.00,26-028,26.07671233,MIA,0,NYK,-5,L,1,42:32:00,7,24,0.292,0,2,0,10,12,0.833,2,9,11,5,2,2,4,3,24,15,5
2010-2011,0,44,44,1/28/2011,2.00,26-029,26.07945205,MIA,1,DET,1,W,1,44:19:00,15,25,0.6,2,4,0.5,7,10,0.7,0,8,8,9,1,2,3,1,39,34,4
2010-2011,0,45,45,1/30/2011,1.00,26-031,26.08493151,MIA,0,OKC,5,W,1,40:13:00,7,14,0.5,2,5,0.4,7,11,0.636,0,4,4,13,4,3,4,3,23,25.6,6
2010-2011,0,46,46,1/31/2011,3.00,26-032,26.08767123,MIA,1,CLE,27,W,1,31:22:00,7,14,0.5,0,0,,10,11,0.909,1,3,4,8,0,2,2,1,24,22.8,20
2010-2011,0,47,47,2/3/2011,1.00,26-035,26.09589041,MIA,0,ORL,4,W,1,42:39:00,17,25,0.68,3,5,0.6,14,17,0.824,2,9,11,8,1,1,3,2,51,46.7,2
2010-2011,0,48,48,2/4/2011,2.00,26-036,26.09863014,MIA,0,CHA,12,W,1,36:39:00,7,13,0.538,0,3,0,5,6,0.833,1,7,8,9,0,0,3,3,19,17.2,10
2010-2011,0,49,49,2/6/2011,2.00,26-038,26.10410959,MIA,1,LAC,18,W,1,35:37:00,6,15,0.4,0,2,0,0,2,0,1,5,6,4,4,0,6,2,12,5.3,15
2010-2011,0,50,50,2/8/2011,3.00,26-040,26.10958904,MIA,1,IND,5,W,1,41:44:00,15,23,0.652,2,5,0.4,9,13,0.692,3,10,13,8,3,1,4,1,41,39.3,18
2010-2011,0,51,51,2/11/2011,2.00,26-043,26.11780822,MIA,0,DET,14,W,1,34:43:00,7,17,0.412,0,2,0,2,3,0.667,0,8,8,10,4,0,3,0,16,16.9,15
2010-2011,0,52,52,2/13/2011,2.00,26-045,26.12328767,MIA,0,BOS,-3,L,1,43:28:00,10,21,0.476,0,2,0,2,3,0.667,1,6,7,7,1,0,4,2,22,14.5,1
2010-2011,0,53,53,2/15/2011,1.00,26-047,26.12876712,MIA,0,IND,7,W,1,40:55:00,11,20,0.55,1,3,0.333,4,6,0.667,1,5,6,5,2,2,5,1,27,20.3,9
2010-2011,0,54,54,2/16/2011,6.00,26-048,26.13150685,MIA,0,TOR,8,W,1,37:38:00,8,18,0.444,0,2,0,7,10,0.7,3,10,13,8,0,0,5,1,23,17.7,6
2010-2011,0,55,55,2/22/2011,2.00,26-054,26.14794521,MIA,1,SAC,20,W,1,30:24:00,14,26,0.538,3,6,0.5,0,3,0,2,6,8,3,0,0,3,4,31,17.9,18
2010-2011,0,56,56,2/24/2011,1.00,26-056,26.15342466,MIA,0,CHI,-4,L,1,41:26:00,12,21,0.571,0,4,0,5,6,0.833,0,10,10,5,2,1,2,1,29,25.5,3
2010-2011,0,57,57,2/25/2011,2.00,26-057,26.15616438,MIA,1,WAS,8,W,1,42:46:00,5,11,0.455,0,1,0,15,19,0.789,1,8,9,7,1,3,1,2,25,27,-4
2010-2011,0,58,58,2/27/2011,4.00,26-059,26.16164384,MIA,1,NYK,-5,L,1,39:08:00,10,20,0.5,1,5,0.2,6,8,0.75,0,7,7,5,3,1,5,2,27,19.7,-3
2010-2011,0,59,59,3/3/2011,1.00,26-063,26.17260274,MIA,1,ORL,-3,L,1,39:56:00,11,16,0.688,0,2,0,7,7,1,2,4,6,4,0,2,2,2,29,26.2,0
2010-2011,0,60,60,3/4/2011,2.00,26-064,26.17534247,MIA,0,SAS,-30,L,1,36:08:00,11,19,0.579,1,3,0.333,3,7,0.429,3,5,8,7,1,0,4,2,26,20.2,-16
2010-2011,0,61,61,3/6/2011,2.00,26-066,26.18082192,MIA,1,CHI,-1,L,1,41:50:00,10,18,0.556,1,2,0.5,5,6,0.833,3,5,8,6,2,0,2,2,26,24,-4
2010-2011,0,62,62,3/8/2011,2.00,26-068,26.18630137,MIA,1,POR,-9,L,1,45:32:00,14,20,0.7,2,4,0.5,1,4,0.25,1,10,11,8,1,0,4,3,31,26.5,-2
2010-2011,0,63,63,3/10/2011,2.00,26-070,26.19178082,MIA,1,LAL,6,W,1,42:16:00,7,17,0.412,0,3,0,5,7,0.714,1,7,8,9,1,0,1,1,19,17.8,8
2010-2011,0,64,64,3/12/2011,2.00,26-072,26.19726027,MIA,1,MEM,33,W,1,31:55:00,10,16,0.625,2,4,0.5,5,6,0.833,1,4,5,5,1,2,3,1,27,23.8,17
2010-2011,0,65,65,3/14/2011,2.00,26-074,26.20273973,MIA,1,SAS,30,W,1,41:31:00,8,19,0.421,0,1,0,5,5,1,0,6,6,8,0,2,2,3,21,16.5,22
2010-2011,0,66,66,3/16/2011,2.00,26-076,26.20821918,MIA,1,OKC,-11,L,1,39:30:00,8,21,0.381,0,3,0,3,3,1,0,8,8,3,1,1,1,0,19,12.7,-6
2010-2011,0,67,67,3/18/2011,1.00,26-078,26.21369863,MIA,0,ATL,21,W,1,30:54:00,16,21,0.762,5,7,0.714,6,7,0.857,0,2,2,3,0,0,4,2,43,32.2,23
2010-2011,0,68,68,3/19/2011,4.00,26-079,26.21643836,MIA,1,DEN,5,W,1,40:40:00,15,25,0.6,1,4,0.25,2,2,1,0,6,6,2,2,0,5,3,33,20.5,16
2010-2011,0,69,69,3/23/2011,2.00,26-083,26.22739726,MIA,0,DET,6,W,1,42:05:00,8,16,0.5,0,3,0,3,4,0.75,3,5,8,7,0,0,3,3,19,14.9,6
2010-2011,0,70,70,3/25/2011,2.00,26-085,26.23287671,MIA,1,PHI,12,W,1,41:01:00,11,17,0.647,1,4,0.25,9,9,1,2,8,10,2,3,1,4,3,32,28.2,17
2010-2011,0,71,71,3/27/2011,2.00,26-087,26.23835616,MIA,1,HOU,6,W,1,40:27:00,13,21,0.619,0,1,0,7,9,0.778,1,9,10,7,0,0,2,1,33,28.6,5
2010-2011,0,72,72,3/29/2011,1.00,26-089,26.24383562,MIA,0,CLE,-12,L,1,43:17:00,10,21,0.476,1,5,0.2,6,10,0.6,0,10,10,12,0,0,3,3,27,21.9,-9
2010-2011,0,73,73,3/30/2011,2.00,26-090,26.24657534,MIA,0,WAS,16,W,1,43:49:00,12,16,0.75,1,3,0.333,10,13,0.769,1,7,8,8,5,0,5,3,35,34.6,20
2010-2011,0,74,74,4/1/2011,2.00,26-092,26.25205479,MIA,0,MIN,19,W,1,42:53:00,11,20,0.55,0,1,0,5,7,0.714,2,4,6,10,3,1,3,2,27,26.1,15
2010-2011,0,75,75,4/3/2011,3.00,26-094,26.25753425,MIA,0,NJN,14,W,1,38:55:00,13,18,0.722,0,2,0,5,8,0.625,2,9,11,7,3,0,7,2,31,26.6,13
2010-2011,0,76,76,4/6/2011,2.00,26-097,26.26575342,MIA,1,MIL,-5,L,1,39:25:00,10,22,0.455,3,7,0.429,6,8,0.75,1,1,2,8,2,2,4,2,29,22,-10
2010-2011,0,77,77,4/8/2011,2.00,26-099,26.27123288,MIA,1,CHA,9,W,1,37:23:00,9,16,0.563,0,1,0,5,6,0.833,1,6,7,9,2,1,1,2,23,24.7,12
2010-2011,0,78,78,4/10/2011,1.00,26-101,26.27671233,MIA,1,BOS,23,W,1,37:11:00,11,19,0.579,0,2,0,5,9,0.556,0,5,5,7,4,1,4,1,27,23.2,24
